date,w,source,k_n,k_N501Y,k_L452R,p_n,p_N501Y,p_L452R,L452R_tr,L452R_cn,L452R_cp
2021-05-24,月,2064,22,15,5,NA,NA,NA,5,NA,NA
2021-05-25,火,2067,20,10,1,NA,NA,NA,0,NA,NA
2021-05-26,水,2073,20,15,0,NA,NA,NA,NA,NA,NA
2021-05-27,木,2077,1,1,0,NA,NA,NA,NA,NA,NA
2021-05-28,金,2081,25,18,0,NA,NA,NA,NA,NA,NA
2021-05-29,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-30,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-31,月,2093,12,9,0,NA,NA,NA,NA,NA,NA
2021-06-01,火,2097,19,14,0,85,74,1,0,NA,NA
2021-06-02,水,2101,8,4,1,54,49,0,1,NA,NA
2021-06-03,木,2105,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-04,金,2112,8,7,0,151,126,3,0,NA,NA
2021-06-05,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-06,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-07,月,2119,5,1,0,14,14,0,NA,NA,NA
2021-06-08,火,2123,10,6,2,NA,NA,NA,0,0,1
2021-06-09,水,2127,15,5,10,88,75,0,0,1,10
2021-06-10,木,2132,NA,NA,NA,49,40,0,NA,NA,NA
2021-06-11,金,2137,11,7,3,112,100,0,0,NA,NA
2021-06-12,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-13,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-14,月,2144,5,NA,1,129,NA,2,0,NA,NA
2021-06-15,火,2148,8,NA,2,79,NA,0,0,NA,NA
2021-06-16,水,2153,13,NA,3,77,NA,1,0,NA,NA
2021-06-17,木,2158,NA,NA,NA,99,NA,5,0,NA,NA
2021-06-18,金,2162,13,NA,1,497,NA,18,0,NA,NA
2021-06-19,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-20,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-21,月,2172,17,NA,2,106,NA,5,NA,NA,NA
2021-06-22,火,2175,12,NA,2,326,NA,19,0,1,1
2021-06-23,水,2179,24,NA,8,199,NA,8,0,0,6
2021-06-24,木,2185,NA,NA,NA,351,NA,21,0,NA,NA
2021-06-25,金,2191,21,NA,2,464,NA,66,0,1,2
2021-06-26,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-27,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-28,月,2198,17,NA,4,148,NA,14,NA,NA,NA
2021-06-29,火,2202,40,NA,3,366,NA,40,NA,0,7
2021-06-30,水,2206,11,NA,3,311,NA,52,NA,NA,NA
2021-07-01,木,2210,NA,NA,NA,331,NA,47,NA,NA,NA
2021-07-02,金,2214,20,NA,3,524,NA,60,1,NA,NA
2021-07-03,土,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-04,日,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-05,月,2220,13,NA,6,192,NA,32,NA,NA,NA
2021-07-06,火,NA,20,NA,11,432,NA,83,NA,NA,NA